warranty_id,type1,original_damage,field_id,warranty_dmgdate,geom
2237,drought,2,7371,2021-01-09,"POLYGON ((103.8844834640622 16.050831230745093, 103.88481471687555 16.05089083884318, 103.88482645154 16.04709843944243, 103.88453107327223 16.04710262819867, 103.8844834640622 16.050831230745093))"
2246,drought,2,8897,2020-06-06,"POLYGON ((100.46232506632805 15.836680711525103, 100.46259429305792 15.83740548055287, 100.46309184283018 15.838585684098215, 100.46362996101378 15.838491500302453, 100.4631505161524 15.837257107932912, 100.46283200383186 15.836167533484684, 100.46234115958214 15.836310746092238, 100.4624692350626 15.836545885491164, 100.46232506632805 15.836680711525103))"
2247,drought,2,8906,2020-06-06,"POLYGON ((100.45235093683004 15.846060253886186, 100.45235093683004 15.846060253886186, 100.45101720839739 15.846593081383366, 100.45117646455765 15.846973994125413, 100.45137528330088 15.847419090237596, 100.45284580439329 15.84695593223348, 100.45235093683004 15.846060253886186))"
2248,drought,2,8913,2020-06-06,"POLYGON ((100.46464618295431 15.848796301700844, 100.46370171010493 15.848864678231193, 100.46362727880478 15.850092871585849, 100.46450737863779 15.85006964951191, 100.46464618295431 15.848796301700844))"
2249,drought,2,8918,2020-06-06,"POLYGON ((100.46377312391996 15.848862743046691, 100.46241391450167 15.84901852533979, 100.46236865222454 15.850077067674714, 100.46366684138775 15.850025463058307, 100.46377312391996 15.848862743046691))"
2254,flood,1,5567,2020-10-12,"POLYGON ((99.92415256798267 13.80460369918612, 99.92408014833927 13.80438229671614, 99.92329727858305 13.804879149612667, 99.92347329854965 13.805229160028052, 99.92415256798267 13.80460369918612))"
2681,drought,3,10861,2020-07-09,"POLYGON ((104.40778143703939 14.887339251762521, 104.40796416252851 14.887342816003072, 104.40796751528978 14.887433218084672, 104.40778143703939 14.887339251762521))"
2682,drought,3,10861,2020-07-09,"POLYGON ((104.40778143703939 14.887339251762521, 104.40796416252851 14.887342816003072, 104.40796751528978 14.887433218084672, 104.40778143703939 14.887339251762521))"
2703,drought,2,10925,2020-07-08,"POLYGON ((104.41454730927944 14.871538394282044, 104.41264294087887 14.872543257390873, 104.41252324730158 14.87201830530257, 104.41424321383238 14.871033206578508, 104.41454730927944 14.871538394282044))"
2707,drought,2,10925,2020-08-12,"POLYGON ((104.41454730927944 14.871538394282044, 104.41264294087887 14.872543257390873, 104.41252324730158 14.87201830530257, 104.41424321383238 14.871033206578508, 104.41454730927944 14.871538394282044))"
2710,drought,3,10914,2020-08-01,"POLYGON ((104.41442459821701 14.889633962437236, 104.414242208004 14.891066119098776, 104.41257622092962 14.891075515570321, 104.41278107464314 14.88950338297402, 104.41442459821701 14.889633962437236))"
2720,drought,3,10965,2020-10-08,"POLYGON ((104.40357137471436 14.899292411046645, 104.40512102097273 14.90297695180072, 104.40506670624019 14.90306119135505, 104.40594378858805 14.906558399760806, 104.40357137471436 14.899292411046645))"
2726,drought,2,11016,2020-09-11,"POLYGON ((104.4054214283824 14.892799275142625, 104.40562997013329 14.89289971935412, 104.40555822104214 14.89252580743916, 104.40546568483114 14.89212921384963, 104.40523166209461 14.891386246933203, 104.40504826605321 14.89058171423444, 104.40476898103952 14.890764459742623, 104.40481726080179 14.891139346762774, 104.40485615283251 14.891459150472723, 104.4054214283824 14.892799275142625))"
2727,drought,3,11010,2020-09-16,"POLYGON ((104.40926134586334 14.881123450589694, 104.40979242324829 14.880996106284936, 104.41034898161888 14.880837330837792, 104.41070571541786 14.880716142968856, 104.41117040812969 14.880466314286117, 104.41164080053568 14.880201579814875, 104.41199585795403 14.880009752430691, 104.411945566535 14.87984190332951, 104.4115687161684 14.880074883031279, 104.41123880445957 14.880260229707408, 104.41091962158679 14.880458861545366, 104.40926134586334 14.881123450589694))"
2728,drought,2,11021,2020-05-15,"POLYGON ((104.40660025924444 14.877867560370024, 104.40623413771391 14.877373728778315, 104.40661199390888 14.877275869627876, 104.4072074443102 14.877089224237713, 104.40760642290115 14.876888969108231, 104.40797623246907 14.87680569143492, 104.40821763128041 14.876767779020465, 104.40837386995554 14.877196480549367, 104.40660025924444 14.877867560370024))"
2729,drought,2,11013,2020-09-01,"POLYGON ((104.41125389188528 14.887145810618645, 104.41128138452768 14.887346380243562, 104.41165655851364 14.887297452937094, 104.41271636635064 14.887304905441441, 104.41274218261243 14.887024626296002, 104.41246591508389 14.887011017357116, 104.41211689263584 14.886988335790408, 104.41180776804686 14.886982503387141, 104.41125389188528 14.887145810618645))"
2730,drought,2,11011,2020-08-06,"POLYGON ((104.41297352313995 14.887671049903162, 104.41318809986115 14.888495682718014, 104.41514711827038 14.887878747502736, 104.41480245441198 14.886898905589806, 104.4139625877142 14.887389151124891, 104.41297352313995 14.887671049903162))"
2731,drought,2,11010,2020-09-02,"POLYGON ((104.40926134586334 14.881123450589694, 104.40979242324829 14.880996106284936, 104.41034898161888 14.880837330837792, 104.41070571541786 14.880716142968856, 104.41117040812969 14.880466314286117, 104.41164080053568 14.880201579814875, 104.41199585795403 14.880009752430691, 104.411945566535 14.87984190332951, 104.4115687161684 14.880074883031279, 104.41123880445957 14.880260229707408, 104.41091962158679 14.880458861545366, 104.40926134586334 14.881123450589694))"
2732,drought,2,11025,2020-08-14,"POLYGON ((104.39143739640713 14.932846553971833, 104.39110781997442 14.933013713836917, 104.39089491963387 14.932726691197816, 104.39073532819748 14.932390751120746, 104.39041044563055 14.932215167959184, 104.39021799713373 14.931893157138731, 104.3910712748766 14.931621358897566, 104.39143739640713 14.932846553971833))"
2733,drought,2,11026,2020-09-09,"POLYGON ((104.40876077860594 14.888576363715913, 104.40856799483299 14.888776607989778, 104.40829072147609 14.888818730547978, 104.40829072147609 14.888979444232842, 104.40801210701466 14.888951254542759, 104.40775595605373 14.888998561376905, 104.40746057778595 14.889127197030932, 104.40700560808182 14.889385116146236, 104.4064899533987 14.889624889921267, 104.40622005611658 14.889823189112018, 104.40602861344816 14.889902573540835, 104.4059005379677 14.88968774948841, 104.4058385118842 14.889542589223145, 104.40571177750827 14.889355954452702, 104.40614696592094 14.88922829099231, 104.4065261632204 14.88909025884091, 104.40694592893124 14.888917232498084, 104.40708540380001 14.888756194747089, 104.40757792443037 14.888658016743255, 104.40779987722635 14.888612005914188, 104.40803222358227 14.88852808472884, 104.40825618803501 14.888508967543048, 104.40847378224134 14.888424398277078, 104.40876077860594 14.888576363715913))"
2734,drought,2,11026,2020-09-09,"POLYGON ((104.40876077860594 14.888576363715913, 104.40856799483299 14.888776607989778, 104.40829072147609 14.888818730547978, 104.40829072147609 14.888979444232842, 104.40801210701466 14.888951254542759, 104.40775595605373 14.888998561376905, 104.40746057778595 14.889127197030932, 104.40700560808182 14.889385116146236, 104.4064899533987 14.889624889921267, 104.40622005611658 14.889823189112018, 104.40602861344816 14.889902573540835, 104.4059005379677 14.88968774948841, 104.4058385118842 14.889542589223145, 104.40571177750827 14.889355954452702, 104.40614696592094 14.88922829099231, 104.4065261632204 14.88909025884091, 104.40694592893124 14.888917232498084, 104.40708540380001 14.888756194747089, 104.40757792443037 14.888658016743255, 104.40779987722635 14.888612005914188, 104.40803222358227 14.88852808472884, 104.40825618803501 14.888508967543048, 104.40847378224134 14.888424398277078, 104.40876077860594 14.888576363715913))"
2738,drought,2,11028,2020-05-15,"POLYGON ((104.41271636635064 14.886499709459288, 104.41273145377636 14.886689910954601, 104.4131250679493 14.886750179195772, 104.41377516835927 14.886623486260664, 104.41410306841135 14.88648221220938, 104.41459223628044 14.886320848615506, 104.41450875252485 14.886090143829694, 104.41271636635064 14.886499709459288))"
